A00	Cholera
S76.10	Unspecified injury of quadriceps muscle, fascia and tendon
S76.101	Unspecified injury of right quadriceps muscle, fascia and tendon
S76.102	Unspecified injury of left quadriceps muscle, fascia and tendon
S76.109	Unspecified injury of unspecified quadriceps muscle, fascia and tendon
S76.11	Strain of quadriceps muscle, fascia and tendon
S76.111	Strain of right quadriceps muscle, fascia and tendon
S76.112	Strain of left quadriceps muscle, fascia and tendon
S76.119	Strain of unspecified quadriceps muscle, fascia and tendon
S76.12	Laceration of quadriceps muscle, fascia and tendon
S76.121	Laceration of right quadriceps muscle, fascia and tendon
S76.122	Laceration of left quadriceps muscle, fascia and tendon
S76.129	Laceration of unspecified quadriceps muscle, fascia and tendon
S76.19	Other specified injury of quadriceps muscle, fascia and tendon
S76.191	Other specified injury of right quadriceps muscle, fascia and tendon
S76.192	Other specified injury of left quadriceps muscle, fascia and tendon
S76.199	Other specified injury of unspecified quadriceps muscle, fascia and tendon
S76.2	Injury of adductor muscle, fascia and tendon of thigh
S76.20	Unspecified injury of adductor muscle, fascia and tendon of thigh
S76.201	Unspecified injury of adductor muscle, fascia and tendon of right thigh
S76.202	Unspecified injury of adductor muscle, fascia and tendon of left thigh
S76.209	Unspecified injury of adductor muscle, fascia and tendon of unspecified thigh
S76.21	Strain of adductor muscle, fascia and tendon of thigh
S76.211	Strain of adductor muscle, fascia and tendon of right thigh
S76.212	Strain of adductor muscle, fascia and tendon of left thigh
S76.219	Strain of adductor muscle, fascia and tendon of unspecified thigh
S76.22	Laceration of adductor muscle, fascia and tendon of thigh
S76.221	Laceration of adductor muscle, fascia and tendon of right thigh
S76.222	Laceration of adductor muscle, fascia and tendon of left thigh
S76.229	Laceration of adductor muscle, fascia and tendon of unspecified thigh
S76.29	Other injury of adductor muscle, fascia and tendon of thigh
S76.291	Other injury of adductor muscle, fascia and tendon of right thigh
S76.292	Other injury of adductor muscle, fascia and tendon of left thigh
S76.299	Other injury of adductor muscle, fascia and tendon of unspecified thigh
S76.3	Injury of muscle, fascia and tendon of the posterior muscle group at thigh level
S76.30	Unspecified injury of muscle, fascia and tendon of the posterior muscle group at thigh level
S76.301	Unspecified injury of muscle, fascia and tendon of the posterior muscle group at thigh level, right thigh
S76.302	Unspecified injury of muscle, fascia and tendon of the posterior muscle group at thigh level, left thigh
S76.309	Unspecified injury of muscle, fascia and tendon of the posterior muscle group at thigh level, unspecified thigh
S76.31	Strain of muscle, fascia and tendon of the posterior muscle group at thigh level
S76.311	Strain of muscle, fascia and tendon of the posterior muscle group at thigh level, right thigh
S76.312	Strain of muscle, fascia and tendon of the posterior muscle group at thigh level, left thigh
S76.319	Strain of muscle, fascia and tendon of the posterior muscle group at thigh level, unspecified thigh
S76.32	Laceration of muscle, fascia and tendon of the posterior muscle group at thigh level
S76.321	Laceration of muscle, fascia and tendon of the posterior muscle group at thigh level, right thigh
S76.322	Laceration of muscle, fascia and tendon of the posterior muscle group at thigh level, left thigh
S76.329	Laceration of muscle, fascia and tendon of the posterior muscle group at thigh level, unspecified thigh
S76.39	Other specified injury of muscle, fascia and tendon of the posterior muscle group at thigh level
S76.391	Other specified injury of muscle, fascia and tendon of the posterior muscle group at thigh level, right thigh
S76.392	Other specified injury of muscle, fascia and tendon of the posterior muscle group at thigh level, left thigh
S76.399	Other specified injury of muscle, fascia and tendon of the posterior muscle group at thigh level, unspecified thigh
S76.8	Injury of other specified muscles, fascia and tendons at thigh level
S76.80	Unspecified injury of other specified muscles, fascia and tendons at thigh level
S76.801	Unspecified injury of other specified muscles, fascia and tendons at thigh level, right thigh
S76.802	Unspecified injury of other specified muscles, fascia and tendons at thigh level, left thigh
S76.809	Unspecified injury of other specified muscles, fascia and tendons at thigh level, unspecified thigh
S76.81	Strain of other specified muscles, fascia and tendons at thigh level
S76.811	Strain of other specified muscles, fascia and tendons at thigh level, right thigh
S76.812	Strain of other specified muscles, fascia and tendons at thigh level, left thigh
S76.819	Strain of other specified muscles, fascia and tendons at thigh level, unspecified thigh
S76.82	Laceration of other specified muscles, fascia and tendons at thigh level
S76.821	Laceration of other specified muscles, fascia and tendons at thigh level, right thigh
S76.822	Laceration of other specified muscles, fascia and tendons at thigh level, left thigh
S76.829	Laceration of other specified muscles, fascia and tendons at thigh level, unspecified thigh
S76.89	Other injury of other specified muscles, fascia and tendons at thigh level
S76.891	Other injury of other specified muscles, fascia and tendons at thigh level, right thigh
S76.892	Other injury of other specified muscles, fascia and tendons at thigh level, left thigh
S76.899	Other injury of other specified muscles, fascia and tendons at thigh level, unspecified thigh
S76.9	Injury of unspecified muscles, fascia and tendons at thigh level
S76.90	Unspecified injury of unspecified muscles, fascia and tendons at thigh level
S76.901	Unspecified injury of unspecified muscles, fascia and tendons at thigh level, right thigh
S76.902	Unspecified injury of unspecified muscles, fascia and tendons at thigh level, left thigh
S76.909	Unspecified injury of unspecified muscles, fascia and tendons at thigh level, unspecified thigh
S76.91	Strain of unspecified muscles, fascia and tendons at thigh level
S76.911	Strain of unspecified muscles, fascia and tendons at thigh level, right thigh
S76.912	Strain of unspecified muscles, fascia and tendons at thigh level, left thigh
S76.919	Strain of unspecified muscles, fascia and tendons at thigh level, unspecified thigh
S76.92	Laceration of unspecified muscles, fascia and tendons at thigh level
S76.921	Laceration of unspecified muscles, fascia and tendons at thigh level, right thigh
S76.922	Laceration of unspecified muscles, fascia and tendons at thigh level, left thigh
S76.929	Laceration of unspecified muscles, fascia and tendons at thigh level, unspecified thigh
S76.99	Other specified injury of unspecified muscles, fascia and tendons at thigh level
S76.991	Other specified injury of unspecified muscles, fascia and tendons at thigh level, right thigh
S76.992	Other specified injury of unspecified muscles, fascia and tendons at thigh level, left thigh
S76.999	Other specified injury of unspecified muscles, fascia and tendons at thigh level, unspecified thigh
S77	Crushing injury of hip and thigh
S77.0	Crushing injury of hip
S77.00	Crushing injury of unspecified hip
S77.01	Crushing injury of right hip
S77.02	Crushing injury of left hip
S77.1	Crushing injury of thigh
S77.10	Crushing injury of unspecified thigh
S77.11	Crushing injury of right thigh
S77.12	Crushing injury of left thigh
S77.2	Crushing injury of hip with thigh
S77.20	Crushing injury of unspecified hip with thigh
S77.21	Crushing injury of right hip with thigh
S77.22	Crushing injury of left hip with thigh
S78	Traumatic amputation of hip and thigh
S78.0	Traumatic amputation at hip joint
S78.01	Complete traumatic amputation at hip joint
S78.011	Complete traumatic amputation at right hip joint
S78.012	Complete traumatic amputation at left hip joint
S78.019	Complete traumatic amputation at unspecified hip joint
S78.02	Partial traumatic amputation at hip joint
S78.021	Partial traumatic amputation at right hip joint
S78.022	Partial traumatic amputation at left hip joint
S78.029	Partial traumatic amputation at unspecified hip joint
S78.1	Traumatic amputation at level between hip and knee
S78.11	Complete traumatic amputation at level between hip and knee
S78.111	Complete traumatic amputation at level between right hip and knee
S78.112	Complete traumatic amputation at level between left hip and knee
S78.119	Complete traumatic amputation at level between unspecified hip and knee
S78.12	Partial traumatic amputation at level between hip and knee
S78.121	Partial traumatic amputation at level between right hip and knee
S78.122	Partial traumatic amputation at level between left hip and knee
S78.129	Partial traumatic amputation at level between unspecified hip and knee
S78.9	Traumatic amputation of hip and thigh, level unspecified
S78.91	Complete traumatic amputation of hip and thigh, level unspecified
S78.911	Complete traumatic amputation of right hip and thigh, level unspecified
S78.912	Complete traumatic amputation of left hip and thigh, level unspecified
S78.919	Complete traumatic amputation of unspecified hip and thigh, level unspecified
S78.92	Partial traumatic amputation of hip and thigh, level unspecified
S78.921	Partial traumatic amputation of right hip and thigh, level unspecified
S78.922	Partial traumatic amputation of left hip and thigh, level unspecified
S78.929	Partial traumatic amputation of unspecified hip and thigh, level unspecified
S79	Other and unspecified injuries of hip and thigh
S79.0	Physeal fracture of upper end of femur
S79.00	Unspecified physeal fracture of upper end of femur
S79.001	Unspecified physeal fracture of upper end of right femur
S79.002	Unspecified physeal fracture of upper end of left femur
S79.009	Unspecified physeal fracture of upper end of unspecified femur
S79.01	Salter-Harris Type I physeal fracture of upper end of femur
S79.011	Salter-Harris Type I physeal fracture of upper end of right femur
S79.012	Salter-Harris Type I physeal fracture of upper end of left femur
S79.019	Salter-Harris Type I physeal fracture of upper end of unspecified femur
S79.09	Other physeal fracture of upper end of femur
S79.091	Other physeal fracture of upper end of right femur
S79.092	Other physeal fracture of upper end of left femur
S79.099	Other physeal fracture of upper end of unspecified femur
S79.1	Physeal fracture of lower end of femur
S79.10	Unspecified physeal fracture of lower end of femur
S79.101	Unspecified physeal fracture of lower end of right femur
S79.102	Unspecified physeal fracture of lower end of left femur
S79.109	Unspecified physeal fracture of lower end of unspecified femur
S79.11	Salter-Harris Type I physeal fracture of lower end of femur
S79.111	Salter-Harris Type I physeal fracture of lower end of right femur
S79.112	Salter-Harris Type I physeal fracture of lower end of left femur
